; CSV, generated by libsigrok4DSL 0.2.0 on Tue Oct 18 11:27:46 2022
; Channels (4/16)
; Sample rate: 20 MHz
; Sample count: 200.512 M Samples
Time(s), CLK, MOSI, CS, DC
0.32777045,1,1,1,1
0.32777055,1,1,1,0
0.32777915,1,1,0,0
0.3277878,1,1,1,1
0.3277879,1,1,1,0
0.3277965,1,1,0,0
0.32780515,1,1,1,1
0.32780525,1,1,1,0
0.3278225,1,1,0,0
0.3278312,1,1,1,1
0.3278313,1,1,1,0
0.32783985,1,1,0,0
0.3278572,1,1,1,1
0.3278573,1,1,1,0
0.3278659,1,1,0,0
0.3278746,1,1,1,1
0.3278747,1,1,1,0
0.32788325,1,1,0,0
0.32789195,1,1,1,1
0.32789205,1,1,1,0
0.3279093,1,1,0,0
0.32791795,1,1,1,1
0.32791805,1,1,1,0
0.32792665,1,1,0,0
0.327944,1,1,1,1
0.3279441,1,1,1,0
0.3279527,1,1,0,0
0.32796135,1,1,1,1
0.32796145,1,1,1,0
0.32797005,1,1,0,0
0.3279787,1,1,1,1
0.3279788,1,1,1,0
0.32799605,1,1,0,0
0.32800475,1,1,1,1
0.32800485,1,1,1,0
0.3280134,1,1,0,0
0.32803075,1,1,1,1
0.32803085,1,1,1,0
0.32803945,1,1,0,0
0.32804815,1,1,1,1
0.32804825,1,1,1,0
0.3280568,1,1,0,0
0.3280655,1,1,1,1
0.3280656,1,1,1,0
0.32808285,1,1,0,0
0.3280915,1,1,1,1
0.3280916,1,1,1,0
0.3281002,1,1,0,0
0.32811755,1,1,1,1
0.32811765,1,1,1,0
0.32812625,1,1,0,0
0.3281349,1,1,1,0
0.32813495,1,1,1,1
0.328135,1,1,1,0
0.3281436,1,1,0,0
0.32815225,1,1,1,0
0.3281523,1,1,1,1
0.32815235,1,1,1,0
0.32816965,1,1,0,0
0.3281783,1,1,1,1
0.3281784,1,1,1,0
0.328187,1,1,0,0
0.32820435,1,1,1,1
0.3282044,1,1,1,0
0.32821305,1,1,0,0
0.3282217,1,1,1,1
0.3282218,1,1,1,0
0.3282304,1,1,0,0
0.32823905,1,1,1,0
0.3282391,1,1,1,1
0.32823915,1,1,1,0
0.3282564,1,1,0,0
0.3282651,1,1,1,1
0.32826515,1,1,1,0
0.32827375,1,1,0,0
0.3282911,1,1,1,0
0.32829115,1,1,1,1
0.3282912,1,1,1,0
0.3282998,1,1,0,0
0.3283085,1,1,1,1
0.3283086,1,1,1,0
0.32831715,1,1,0,0
0.32832585,1,1,1,1
0.32832595,1,1,1,0
0.3283432,1,1,0,0
0.32835185,1,1,1,1
0.32835195,1,1,1,0
0.32836055,1,1,0,0
0.3283779,1,1,1,1
0.328378,1,1,1,0
0.3283866,1,1,0,0
0.32839525,1,1,1,1
0.32839535,1,1,1,0
0.32840395,1,1,0,0
0.3284126,1,1,1,1
0.3284127,1,1,1,0
0.32842995,1,1,0,0
0.32843865,1,1,1,1
0.32843875,1,1,1,0
0.3284473,1,1,0,0
0.32846465,1,1,1,1
0.32846475,1,1,1,0
0.32847335,1,1,0,0
0.32848205,1,1,1,1
0.32848215,1,1,1,0
0.3284907,1,1,0,0
0.3284994,1,1,1,1
0.3284995,1,1,1,0
0.32851675,1,1,0,0
0.3285254,1,1,1,1
0.3285255,1,1,1,0
0.3285341,1,1,0,0
0.32855145,1,1,1,1
0.32855155,1,1,1,0
0.32856015,1,1,0,0
0.3285688,1,1,1,1
0.3285689,1,1,1,0
0.3285775,1,1,0,0
0.32858615,1,1,1,1
0.32858625,1,1,1,0
0.3286035,1,1,0,0
0.3286122,1,1,1,1
0.3286123,1,1,1,0
0.32862085,1,1,0,0
0.3286382,1,1,1,1
0.3286383,1,1,1,0
0.3286469,1,1,0,0
0.3286556,1,1,1,1
0.3286557,1,1,1,0
0.32866425,1,1,0,0
0.32867295,1,1,1,1
0.32867305,1,1,1,0
0.3286903,1,1,0,0
0.32869895,1,1,1,0
0.328699,1,1,1,1
0.32869905,1,1,1,0
0.32870765,1,1,0,0
0.328725,1,1,1,1
0.3287251,1,1,1,0
0.3287337,1,1,0,0
0.3287424,1,1,1,1
0.32874245,1,1,1,0
0.32875105,1,1,0,0
0.32875975,1,1,1,1
0.3287598,1,1,1,0
0.3287771,1,1,0,0
0.32878575,1,1,1,1
0.32878585,1,1,1,0
0.32879445,1,1,0,0
0.3288118,1,1,1,1
0.32881185,1,1,1,0
0.3288205,1,1,0,0
0.32882915,1,1,1,0
0.3288292,1,1,1,1
0.32882925,1,1,1,0
0.32883785,1,1,0,0
0.3288465,1,1,1,0
0.32884655,1,1,1,1
0.3288466,1,1,1,0
0.32886385,1,1,0,0
0.32887255,1,1,1,1
0.3288726,1,1,1,0
0.3288812,1,1,0,0
0.32889855,1,1,1,1
0.32889865,1,1,1,0
